,transaction_time,quantity,open,high,low,close,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
11195,2024-03-04 21:17:30,65.302,67154.5,67189.9,67143.3,67189.1,67189.0,3.773,67189.1,1.467
11196,2024-03-04 21:18:00,134.55700000000002,67189.1,67204.9,67118.1,67125.6,67125.5,0.686,67125.6,3.813
11197,2024-03-04 21:18:30,274.63100000000003,67125.6,67148.0,67063.8,67072.3,67072.2,2.326,67072.3,1.138
11198,2024-03-04 21:19:00,256.499,67072.3,67105.9,67041.0,67041.1,67041.0,3.462,67041.1,6.58
11199,2024-03-04 21:19:30,581.903,67041.0,67050.0,66972.8,66992.6,66992.5,1.745,66992.6,0.679
11200,2024-03-04 21:20:00,374.153,66992.6,67084.5,66992.6,67071.6,67071.5,9.636,67071.6,5.344
11201,2024-03-04 21:20:30,114.489,67071.6,67105.8,67071.5,67094.5,67094.4,0.654,67094.5,2.061
11202,2024-03-04 21:21:00,59.748,67094.4,67105.2,67055.5,67076.0,67076.0,0.393,67076.1,4.767
11203,2024-03-04 21:21:30,113.69200000000001,67076.1,67085.0,67010.7,67010.7,67010.7,0.743,67010.8,6.555
11204,2024-03-04 21:22:00,246.0,67010.8,67022.9,66942.6,66973.1,66973.1,2.079,66973.2,3.156
11205,2024-03-04 21:22:30,163.452,66973.2,67025.6,66960.8,67025.6,67025.6,7.329,67025.7,5.0
11206,2024-03-04 21:23:00,142.599,67025.6,67062.5,66964.8,67044.6,67044.5,1.249,67044.6,1.82
11207,2024-03-04 21:23:30,99.422,67044.6,67059.9,67022.8,67049.8,67049.8,0.668,67049.9,5.046
11208,2024-03-04 21:24:00,107.21,67049.8,67058.3,66978.7,66996.7,66996.7,0.981,66996.8,2.459
11209,2024-03-04 21:24:30,232.161,66996.8,66996.8,66906.0,66919.3,66919.2,9.398,66919.4,0.005
11210,2024-03-04 21:25:00,303.279,66919.4,66948.4,66866.0,66871.9,66871.9,0.093,66872.0,2.271
11211,2024-03-04 21:25:30,230.207,66871.9,66926.7,66845.9,66865.1,66865.0,2.232,66865.1,0.03
11212,2024-03-04 21:26:00,135.545,66867.0,66950.3,66867.0,66892.0,66891.9,0.92,66892.0,5.234
11213,2024-03-04 21:26:30,314.311,66892.0,66904.3,66813.1,66831.8,66831.7,2.09,66831.8,0.362
11214,2024-03-04 21:27:00,222.511,66831.8,66952.3,66831.7,66941.9,66941.8,1.549,66941.9,1.867
11215,2024-03-04 21:27:30,107.67,66941.8,67008.8,66941.8,67002.5,67002.4,2.202,67002.5,2.471
11216,2024-03-04 21:28:00,177.808,67002.4,67048.3,67002.4,67033.4,67033.7,8.933,67033.8,1.82
11217,2024-03-04 21:28:30,230.79,67033.8,67033.8,66994.7,67032.4,67032.3,4.776,67032.4,1.35
11218,2024-03-04 21:29:00,116.266,67032.3,67085.0,67032.3,67081.9,67081.8,2.458,67081.9,2.9
11219,2024-03-04 21:29:30,434.049,67081.8,67090.2,67020.1,67028.8,67028.7,0.879,67028.8,4.547
11220,2024-03-04 21:30:00,127.859,67028.8,67044.7,67000.0,67000.0,67000.0,1.853,67000.1,8.263
11221,2024-03-04 21:30:30,197.425,67000.0,67008.5,66948.7,66994.5,66994.5,6.235,66994.6,0.852
11222,2024-03-04 21:31:00,109.359,66994.5,67011.4,66958.9,67000.0,66999.9,6.723,67000.0,2.696
11223,2024-03-04 21:31:30,88.667,66999.9,67000.0,66956.4,66956.4,66956.4,3.028,66956.5,8.965
11224,2024-03-04 21:32:00,112.464,66956.4,67038.7,66956.4,67038.6,67038.6,3.412,67038.7,1.391
11225,2024-03-04 21:32:30,163.901,67038.7,67118.0,67034.7,67107.0,67107.0,0.691,67107.1,5.36
11226,2024-03-04 21:33:00,132.198,67107.1,67151.7,67086.7,67139.3,67139.3,6.852,67139.4,0.844
11227,2024-03-04 21:33:30,88.845,67139.3,67152.2,67130.0,67139.0,67138.9,2.003,67139.0,4.8
11228,2024-03-04 21:34:00,93.677,67138.9,67163.6,67118.6,67131.3,67131.3,6.319,67131.4,0.298
11229,2024-03-04 21:34:30,169.105,67131.3,67197.2,67084.5,67197.2,67197.1,5.367,67197.2,3.079
11230,2024-03-04 21:35:00,159.149,67197.1,67200.0,67180.0,67180.0,67180.0,81.354,67180.1,4.723
11231,2024-03-04 21:35:30,92.703,67180.0,67198.3,67140.6,67160.6,67160.5,4.257,67160.6,2.509
11232,2024-03-04 21:36:00,50.841,67160.5,67192.7,67155.9,67180.5,67180.4,3.168,67180.5,2.584
11233,2024-03-04 21:36:30,70.789,67180.4,67180.4,67079.5,67095.4,67095.3,4.018,67095.4,2.785
11234,2024-03-04 21:37:00,60.254,67095.4,67177.2,67095.3,67162.4,67162.3,0.395,67162.4,7.186
11235,2024-03-04 21:37:30,58.224000000000004,67162.4,67187.4,67146.3,67174.0,67173.9,7.344,67174.0,0.317
11236,2024-03-04 21:38:00,74.964,67174.0,67194.9,67129.9,67140.0,67140.0,2.759,67140.1,0.116
11237,2024-03-04 21:38:30,32.875,67140.1,67150.3,67128.1,67132.9,67132.8,2.421,67132.9,5.043
11238,2024-03-04 21:39:00,59.973,67132.9,67176.3,67132.8,67170.0,67170.0,5.431,67170.1,2.54
11239,2024-03-04 21:39:30,221.94,67170.1,67241.3,67170.1,67219.2,67219.5,1.78,67219.6,0.94
11240,2024-03-04 21:40:00,120.289,67219.5,67240.0,67184.0,67190.9,67190.8,3.73,67190.9,4.174
11241,2024-03-04 21:40:30,53.016,67190.9,67209.1,67185.4,67205.6,67205.6,8.921,67205.7,0.079
11242,2024-03-04 21:41:00,97.753,67205.7,67220.0,67132.4,67132.5,67132.4,3.735,67132.5,1.946
11243,2024-03-04 21:41:30,61.573,67132.4,67132.5,67101.9,67116.1,67116.0,0.321,67116.1,10.164
11244,2024-03-04 21:42:00,217.945,67116.0,67152.8,67072.0,67111.9,67111.9,1.075,67112.0,8.589
11245,2024-03-04 21:42:30,107.947,67112.0,67113.5,67085.2,67095.3,67095.2,2.202,67095.3,2.644
11246,2024-03-04 21:43:00,48.188,67095.2,67116.1,67075.0,67113.9,67113.9,0.362,67114.0,2.458
11247,2024-03-04 21:43:30,47.064,67114.0,67128.4,67090.1,67119.4,67119.4,0.382,67119.5,6.384
11248,2024-03-04 21:44:00,77.742,67119.5,67127.4,67075.3,67075.3,67075.3,2.285,67075.4,2.329
11249,2024-03-04 21:44:30,72.127,67075.4,67123.5,67070.0,67123.5,67123.4,4.021,67123.5,2.279
11250,2024-03-04 21:45:00,112.438,67123.5,67154.1,67084.0,67140.2,67140.1,1.593,67140.2,2.004
